faturamentoBruto;periodoDemonstrativoEmMeses;margemBruta;restricoes
1,63E+11;12;91037386000;1
1555932000;12;1303548000;0
2096113000;12;1495062000;0
264736000;12;260453000;0
1,74E+11;12;95126000000;0
8454200000;12;7966878000;0
27147000;12;16455000;0
512130000;12;612769000;0
427533000;12;382243000;0
538002000;12;503127000;0
599633000;12;342805000;0
4054404000;12;2254120000;0
11000;12;6000;0
140950000;12;71140000;1
276389000;12;171275000;0
827275000;12;564073000;1
6816454000;12;5844666000;1
33710000;12;18592000;0
2852785000;12;1540545000;1
122302000;12;159326000;0
113105000;12;43059000;0
3040775000;12;2076201000;0
4687000000;12;3641000000;0
7739833000;12;6652652000;0
11256565000;12;7752422000;0
967524000;12;1015864000;0
3627703000;12;2286075000;0
1353562000;12;829184000;0
385984000;12;347960000;0
-17954000;12;58402000;0
9648670000;12;7763328000;0
2544890000;12;1592162000;0
1052710000;12;729705000;0
7912664000;12;2446959000;0
3195310000;12;2132787000;0
47534000000;12;38033000000;0
975515000;12;701233000;0
13101753000;12;10234115000;0
25996423000;12;16848707000;0
68850000;12;48496000;0
1475137000;12;893111000;0
1746015000;12;1239609000;0
158619000;12;124637000;0
311270000;12;200089000;0
741477000;12;518204000;0
942000;12;693000;0
86151000;12;61063000;0
1016400000;12;653198000;0
6108740000;12;5584144000;0
9367008000;12;6731229000;0
3255310000;12;2790511000;0
429173000;12;325387000;0
121671000;12;111113000;0
579706000;12;445529000;1
218018274;12;167814257;0
45510000;12;48701000;1
1172311000;12;782255000;0
53424000;12;43380000;1
812651000;12;580608000;0
421202000;12;283811000;0
2574093000;12;2248335000;0
512762915;0;419015261;0
2623976000;12;2103069000;0
1659649000;12;1413181000;0
138486000;12;169044000;0
7090798000;12;4694112000;0
64426000;12;64195000;0
2045115000;12;1048588000;0
196298000;12;159391000;0
77146077000;12;46559584000;0
185056000;12;105246000;0
0;12;0;0
562531000;12;406600000;0
475298000;12;442594000;0
390440014;12;184099307;0
93265000;12;65698000;0
2128732000;12;1608447000;0
37651667000;12;34187941000;0
683821000;12;597041000;0
10458584000;12;5310404000;0
1940657000;12;537062000;0
6451578000;12;2575083000;0
830273000;12;637072000;0
776795000;12;566028000;0
53489000;12;44435000;0
3909760000;12;2900628000;1
