;faturamentoBruto;margemBruta;restricoes;cluster
175;318890,1666666667;0,0;0;0
176;61475737,333333336;0,0;1;1
177;269444,1666666667;0,0;0;0
178;405833,3333333333;0,0;0;0
179;224138,83333333334;0,0;0;0
180;54823,583333333336;0,0;0;0
181;6436154,5;0,0;0;0
182;19514667,416666668;0,0;1;1
183;1724442,6;486508,4;0;0
184;45999312,2;0,0;1;1
185;973697,9166666666;419201,25;1;1
186;1917866,4166666667;519916,6666666667;0;0
187;235280,08333333334;0,0;0;0
188;34359,916666666664;0,0;0;0
189;1141149,0833333333;0,0;0;0
190;199860,66666666666;0,0;0;0
191;2666251,3333333335;0,0;1;1
192;2333919,1666666665;0,0;0;0
193;4778824,666666667;486522,1666666667;0;0
194;817559,5;0,0;0;0
195;805561,4166666666;0,0;0;0
196;177933,66666666666;0,0;0;0
197;224111,83333333334;74250,0;0;0
198;806939,0833333334;0,0;0;0
199;3786635,4166666665;2781890,6666666665;0;0
200;3578338,1666666665;1496337,8333333333;0;0
201;892781,8333333334;394503,4166666667;0;0
202;64599,833333333336;0,0;0;0
203;98703,75;0,0;0;0
204;1859407,5833333333;0,0;0;0
205;387159,45454545453;0,0;0;0
206;293470,5;112254,58333333333;0;0
207;62709,666666666664;0,0;0;0
208;246783,58333333334;0,0;0;0
209;109975,25;0,0;0;0
210;69997,33333333333;0,0;0;0
211;1695850,375;397165,25;0;0
212;64254,833333333336;0,0;0;0
213;45171,166666666664;0,0;0;0
214;146530,5;44930,75;0;0
215;43829,916666666664;0,0;0;0
216;1410564,25;0,0;0;0
217;645006,0;266605,5833333333;0;0
218;198855,58333333334;0,0;0;0
219;1120084,75;428583,3333333333;0;0
220;5479457,583333333;1095575,5;0;0
221;524718,3333333334;0,0;0;0
222;131886,16666666666;0,0;0;0
223;755503,4166666666;0,0;0;0
224;6305393,0;1044200,6666666666;0;0
225;13814,083333333334;0,0;0;0
226;69978,91666666667;0,0;0;0
227;268533,5;0,0;1;1
228;268533500,0;0,0;0;3
229;936989,8333333334;0,0;0;0
230;91976,16666666667;0,0;0;0
231;144523,75;90195,0;0;0
232;921721,6666666666;278125,1111111111;0;0
233;1745565,5833333333;0,0;0;0
234;183179,25;0,0;0;0
235;125348,83333333333;0,0;1;1
236;266666,6666666667;0,0;0;0
237;68228406,58333333;24861370,916666668;1;1
238;19676,333333333332;0,0;0;0
239;1142956,0;0,0;0;0
240;70977,08333333333;0,0;1;1
241;1787165,9166666667;1161812,1666666667;0;0
242;108236,41666666667;0,0;0;0
243;297630,5;0,0;0;0
244;196585,08333333334;0,0;0;0
245;225089,16666666666;0,0;0;0
246;1037559,9166666666;546162,0833333334;1;1
247;68945,08333333333;0,0;1;1
248;2914774,5;1306473,3333333333;0;0
249;479212,5833333333;0,0;0;0
250;1467453,75;0,0;0;0
251;54272,416666666664;0,0;0;0
252;775213,6666666666;626223,0;0;0
253;130856,75;0,0;1;1
254;58457,25;0,0;0;0
255;131837,0;0,0;0;0
256;309066,0;139380,83333333334;1;1
257;97517,5;0,0;0;0
258;77642,16666666667;0,0;0;0
259;68960,08333333333;0,0;0;0
260;915003,25;0,0;0;0
261;96265,16666666667;0,0;0;0
262;4008987,6666666665;803090,2222222222;0;0
263;573684,8333333334;1753139,1666666667;0;0
264;563106,4166666666;0,0;1;1
265;164259,83333333334;0,0;0;0
266;8837925,75;2648277,8333333335;0;0
267;112073,41666666667;13595,333333333334;0;0
268;31858,333333333332;0,0;1;1
269;281691,0833333333;0,0;0;0
270;91629,75;0,0;0;0
271;399598,5833333333;0,0;0;0
272;55874,25;0,0;0;0
273;174178,0;0,0;0;0
274;140325,16666666666;0,0;0;0
275;234282,33333333334;0,0;0;0
276;171572,08333333334;0,0;0;0
277;131747,33333333334;0,0;0;0
278;2676996,0833333335;0,0;0;0
279;1945294,3333333333;0,0;0;0
280;827171,25;0,0;0;0
281;445194,3333333333;204753,91666666666;1;1
282;229897,0;0,0;0;0
283;43306,833333333336;0,0;0;0
284;72892666,66666667;0,0;0;0
285;109558,41666666667;0,0;0;0
286;24873,416666666668;0,0;0;0
287;94433,09090909091;0,0;0;0
288;2754911,7;0,0;0;0
289;270800,9166666667;0,0;0;0
290;1066178,4166666667;0,0;0;0
291;195185,14285714287;0,0;0;0
292;1859392,0;655409,9166666666;0;0
293;2219092,6666666665;0,0;1;1
294;57763,833333333336;0,0;0;0
295;1639215,4166666667;0,0;0;0
296;22843,0;14515,666666666666;1;1
297;3723219,4166666665;0,0;1;1
298;89852,63636363637;0,0;0;0
299;263370,4166666667;116837,58333333333;0;0
300;980633,5;462386,0;0;0
301;62642,75;0,0;0;0
302;273176,0;0,0;0;0
303;161721,75;0,0;0;0
304;958812,0;382503,6666666667;0;0
305;783854,5833333334;0,0;0;0
306;30630119,5;8139964,5;0;0
307;4680797,0;0,0;0;0
308;97190222,22222222;0,0;0;0
309;159813,25;0,0;0;0
310;93915,41666666667;0,0;0;0
311;124871,58333333333;0,0;0;0
312;767757,8333333334;0,0;0;0
313;36569,083333333336;0,0;0;0
314;48834,083333333336;0,0;0;0
315;310410,75;0,0;0;0
316;5100153,583333333;0,0;0;0
317;382297,8333333333;0,0;1;1
318;64320,72727272727;0,0;0;0
319;27613,333333333332;0,0;0;0
320;13526,833333333334;0,0;0;0
321;9336,0;0,0;0;0
322;445477,1666666667;111785,25;0;0
323;3418,0;0,0;0;0
324;180951468,16666666;114428590,16666667;0;3
325;1113,8333333333333;0,0;0;0
326;106082,75;0,0;0;0
327;74553,75;0,0;0;0
328;186206,83333333334;0,0;0;0
329;893612,8333333334;0,0;0;0
330;153677,57142857142;0,0;0;0
331;26397,333333333332;0,0;0;0
332;3723219,4166666665;0,0;0;0
333;2038620,4166666667;0,0;0;0
334;9190766,5;2590590,25;1;1
335;422878,0;0,0;1;1
336;223738,66666666666;-32984,166666666664;0;0
337;275601,6666666667;0,0;0;0
338;86563,66666666667;0,0;0;0
339;114037,6;0,0;1;1
340;708813,75;0,0;0;0
341;654330,3333333334;158475,91666666666;0;0
342;83169,0;0,0;0;0
343;614485,3333333334;0,0;0;0
344;543687,25;188187,75;1;1
345;1844628,1666666667;0,0;0;0
346;219237,16666666666;0,0;0;0
347;83469,0;21465,25;0;0
348;5086327,083333333;3597800,75;0;0
349;95692,0;0,0;1;1
350;375695,6666666667;0,0;0;0
351;1018976,0833333334;0,0;0;0
352;190955500,0;57549083,333333336;1;2
353;37669,666666666664;0,0;0;0
354;904804,0;250974,5;0;0
355;260753,66666666666;0,0;0;0
356;3673166,3333333335;1143310,0;0;0
357;2003327,3333333333;1139232,0;1;1
358;1021799,75;0,0;0;0
359;73671,58333333333;0,0;0;0
360;104543,83333333333;0,0;0;0
361;121237,16666666667;0,0;0;0
362;52065,25;0,0;0;0
363;56363,71428571428;0,0;0;0
364;40200,166666666664;0,0;0;0
365;233098,0;0,0;1;1
366;410858,0;161934,75;0;0
367;1511906,9166666667;0,0;0;0
368;16730941,333333334;2138857,6666666665;0;0
369;38029076,666666664;14963253,666666666;0;0
370;1361236,5;0,0;0;0
371;214087,0;86895,25;0;0
372;457892,0833333333;102343,5;0;0
